Timestamp,Node Name,Date,Time,Day of the week,subscriber_count,Total_PCMD,KMeans,Agglomerative,Spectral,OPTICS,GaussianMix
15-04-2024 13:14,AMF-INFRA,15-04-2024,13:14:28,Monday,0,7,1,2,1,0,0
15-04-2024 13:14,AMF-SLAB-BLR,15-04-2024,13:14:28,Monday,0,0,1,2,1,0,0
15-04-2024 13:14,AMF-GUMPERT-SRN-BLR,15-04-2024,13:14:28,Monday,0,0,1,2,1,0,0
15-04-2024 13:14,TC4-CMM-BILLA-SRN-BLR,15-04-2024,13:14:28,Monday,76,2731,0,1,0,-1,2
15-04-2024 13:14,cMM_AMF-Blackbird-SRN-BLR,15-04-2024,13:14:28,Monday,0,0,1,2,1,0,0
15-04-2024 13:14,CMM-INOX,15-04-2024,13:14:28,Monday,1,38,1,1,2,1,2
15-04-2024 13:14,CMM-SLAB-SRN-BLR,15-04-2024,13:14:28,Monday,6,40,1,1,2,1,2
15-04-2024 13:14,TC4-CMM-DOLLY-SRN-BLR,15-04-2024,13:14:28,Monday,2,36,0,1,0,2,2
15-04-2024 13:14,AMF-KODIAQ-SRN-BLR,15-04-2024,13:14:28,Monday,0,747,1,2,1,0,0
15-04-2024 13:14,TCMM-Nexon-SRN-BLR,15-04-2024,07:44:28,Monday,2,44,1,1,2,1,2
15-04-2024 13:14,CMM-LOKI-NCS,15-04-2024,10:44:31,Monday,0,0,1,1,2,1,2
15-04-2024 13:14,NSA-06-CMM,15-04-2024,10:44:31,Monday,1,20,0,1,0,2,2
15-04-2024 13:14,AMF-03-B,15-04-2024,10:44:31,Monday,0,0,1,2,1,0,0
15-04-2024 13:14,AMF-SA-05,15-04-2024,10:44:30,Monday,0,32,1,2,1,0,0
15-04-2024 13:14,CMM-NSA-04,15-04-2024,10:44:31,Monday,18,590,0,1,0,2,2
15-04-2024 13:14,AMF3,15-04-2024,10:44:31,Monday,0,4804,1,2,1,0,0
15-04-2024 13:14,AMF-SA-07,15-04-2024,10:44:31,Monday,0,15,1,2,1,0,0
15-04-2024 13:14,CMM-JOKI-RACK1,15-04-2024,10:44:31,Monday,33641,3313024,2,0,2,-1,1
15-04-2024 13:14,cmm-apple-187,15-04-2024,10:44:31,Monday,0,305,1,1,2,-1,0
15-04-2024 13:14,CMM1,15-04-2024,10:44:31,Monday,0,207,0,1,0,2,2
15-04-2024 13:14,CMM-12-SRN-OULU,15-04-2024,10:44:31,Monday,26005,1586912,2,0,0,-1,1
15-04-2024 13:14,CMM3 TA,15-04-2024,10:44:34,Monday,462,28939,0,1,0,2,2
15-04-2024 13:14,CMM-01-B-SRN-ESPOO,15-04-2024,10:44:31,Monday,0,0,0,1,0,2,2
15-04-2024 13:14,CMM03-B-SRN-Espoo,15-04-2024,10:44:31,Monday,0,0,1,2,1,0,0
15-04-2024 13:14,CMM-LEO,15-04-2024,10:44:30,Monday,4,88,0,1,0,2,2
15-04-2024 13:14,CMM-VIVAN-NCS,15-04-2024,10:44:31,Monday,0,0,1,1,2,1,2
15-04-2024 13:14,CMM-PETUNIA-SRN-ESPOO,15-04-2024,10:44:30,Monday,0,0,1,1,2,1,0
15-04-2024 13:14,CMM-JERRY-NCS,15-04-2024,10:44:31,Monday,0,0,1,1,2,1,0
15-04-2024 13:14,CMM-STINGRAY-SRN-ESPOO,15-04-2024,10:44:30,Monday,0,0,1,2,1,0,0
15-04-2024 13:14,CMM-JACK-SRN-ESPOO,15-04-2024,10:44:34,Monday,0,1,1,2,1,0,0
15-04-2024 13:14,CMM-SPARROW,15-04-2024,10:44:31,Monday,38,914,0,1,0,2,2
15-04-2024 13:14,AMF NALA,15-04-2024,10:44:30,Monday,0,1604,1,2,1,0,0
15-04-2024 13:14,CMM-JAMES-SRN-ESPOO,15-04-2024,10:44:31,Monday,0,0,1,1,2,1,0
15-04-2024 13:14,AMF_JIll,15-04-2024,10:44:30,Monday,0,506,1,1,2,1,0
15-04-2024 13:14,CMM-SUN,15-04-2024,10:44:30,Monday,2,11,0,1,0,2,2
15-04-2024 13:14,CMM-NIKE-181,15-04-2024,10:44:30,Monday,306,4183,0,1,0,-1,2
15-04-2024 13:14,CMM-SIMA-NCS,15-04-2024,10:44:35,Monday,0,105827,0,1,0,2,2
15-04-2024 13:14,CMM-11-SRN-OULU,15-04-2024,10:44:31,Monday,31791,5703175,2,0,0,-1,1
15-04-2024 13:14,CMM-PUMA-SRN-ESPOO,15-04-2024,10:44:31,Monday,0,0,1,1,2,1,0
