Node Name,subscriber_count,N2_s1mme_total,PCMD_total,KMeans,Agglomerative,Spectral,Birch,GMM,KMeans_T,Agglomerative_T,Spectral_T,Birch_T,GMM_T,resultant_column,TSNE1,TSNE2
CMM-11-SRN-OULU,147746,528,5703175,4,5,1,5,0,Blocker,Blocker,Blocker,Blocker,Blocker,Blocker,-27.737331,-269.8005
CMM-JOKI-RACK1,37543,48,3313024,4,5,1,5,0,Blocker,Blocker,Blocker,Blocker,Blocker,Blocker,-93.88009,-246.06622
CMM-12-SRN-OULU,42851,199,1586912,4,3,1,3,0,Blocker,Critical,Blocker,Critical,Blocker,Blocker,-147.40149,-184.55467
CMM-SIMA-NCS,3543,6,105827,1,3,1,3,0,Critical,Critical,Blocker,Critical,Blocker,Critical,-202.07068,-121.050674
CMM3 TA,670,100,28939,1,3,1,3,2,Critical,Critical,Blocker,Critical,Critical,Critical,-236.48885,-39.90378
AMF3,301,150,4804,1,3,4,3,2,Critical,Critical,Critical,Critical,Critical,Critical,-155.68509,-8.870314
CMM-NIKE-181,377,655,4183,1,2,0,0,2,Critical,Major,Major,Major,Critical,Major,-201.05856,165.76
TC4-CMM-BILLA-SRN-BLR,105,291,2731,1,2,5,0,2,Critical,Major,Major,Major,Critical,Major,-178.73573,71.428116
AMF NALA,352,630,1604,2,2,1,0,2,Major,Major,Blocker,Major,Critical,Major,-131.77307,212.649
CMM-SPARROW,57,17,914,2,1,1,2,5,Major,Major,Blocker,Major,Major,Major,40.72547,178.77184
AMF-KODIAQ-SRN-BLR,228,250,747,1,2,1,0,5,Critical,Major,Blocker,Major,Major,Major,-107.684685,57.18963
CMM-NSA-04,24,35,590,2,2,1,0,5,Major,Major,Blocker,Major,Major,Major,-26.599222,65.99361
AMF_JIll,132,298,506,1,2,1,0,2,Critical,Major,Blocker,Major,Critical,Critical,-111.23522,124.25486
cmm-apple-187,18,0,305,0,4,1,4,3,Major,Major,Blocker,Major,Major,Major,198.7507,-102.46702
CMM1,94,2,207,5,4,1,4,3,Major,Major,Blocker,Major,Major,Major,234.79645,-21.886038
CMM-LEO,20,49,88,4,0,1,1,3,Blocker,Trivial,Blocker,Trivial,Major,Blocker,-22.927605,-130.58229
TCMM-Nexon-SRN-BLR,2,16,44,0,0,1,1,3,Major,Trivial,Blocker,Trivial,Major,Major,136.42978,-156.23434
CMM-SLAB-SRN-BLR,9,20,40,2,1,4,2,4,Major,Major,Critical,Major,Major,Major,119.46927,178.89914
CMM-INOX,12,20,38,0,0,1,1,3,Major,Trivial,Blocker,Trivial,Major,Major,106.9314,-90.79138
TC4-CMM-DOLLY-SRN-BLR,54,24,36,3,2,1,0,5,Trivial,Major,Blocker,Major,Major,Major,-49.678665,1.542903
AMF-SA-05,11,30,32,0,0,1,1,3,Major,Trivial,Blocker,Trivial,Major,Major,55.063374,-162.52415
NSA-06-CMM,9,12,20,1,0,4,1,1,Critical,Trivial,Critical,Trivial,Trivial,Trivial,-81.282036,-69.81237
AMF-SA-07,16,31,15,2,1,0,2,5,Major,Major,Major,Major,Major,Major,-24.924057,141.28313
CMM-SUN,4,20,11,5,4,1,4,4,Major,Major,Blocker,Major,Major,Major,231.0802,58.512108
AMF-INFRA,1,34,7,2,1,1,2,4,Major,Major,Blocker,Major,Major,Major,97.97212,109.653984
CMM-JACK-SRN-ESPOO,4,14,1,3,0,5,1,3,Trivial,Trivial,Major,Trivial,Major,Trivial,-13.339648,-56.768745
CMM-LOKI-NCS,0,0,0,3,0,1,2,1,Trivial,Trivial,Blocker,Major,Trivial,Trivial,55.585632,7.0977902
AMF-03-B,0,0,0,3,0,1,2,1,Trivial,Trivial,Blocker,Major,Trivial,Trivial,55.585632,7.0977902
CMM-01-B-SRN-ESPOO,0,0,0,3,0,1,2,1,Trivial,Trivial,Blocker,Major,Trivial,Trivial,55.585632,7.0977902
CMM03-B-SRN-Espoo,0,0,0,3,0,1,2,1,Trivial,Trivial,Blocker,Major,Trivial,Trivial,55.585632,7.0977902
CMM-VIVAN-NCS,1,1,0,3,0,0,1,3,Trivial,Trivial,Major,Trivial,Major,Trivial,43.128,-91.47941
CMM-JERRY-NCS,0,0,0,3,0,1,2,1,Trivial,Trivial,Blocker,Major,Trivial,Trivial,55.585632,7.0977902
CMM-PUMA-SRN-ESPOO,0,0,0,3,0,1,2,1,Trivial,Trivial,Blocker,Major,Trivial,Trivial,55.585632,7.0977902
AMF-SLAB-BLR,7,18,0,5,1,1,2,4,Major,Major,Blocker,Major,Major,Major,183.45947,130.25267
AMF-GUMPERT-SRN-BLR,0,3,0,0,4,2,4,3,Major,Major,Major,Major,Major,Major,152.57692,-32.263916
cMM_AMF-Blackbird-SRN-BLR,0,3,0,0,4,2,4,3,Major,Major,Major,Major,Major,Major,152.57692,-32.263916
CMM-PETUNIA-SRN-ESPOO,0,2,0,2,1,1,2,5,Major,Major,Blocker,Major,Major,Major,34.594433,100.548096
CMM-STINGRAY-SRN-ESPOO,0,8,0,5,4,3,2,1,Major,Major,Trivial,Major,Trivial,Major,148.5999,53.24201
CMM-JAMES-SRN-ESPOO,0,8,0,5,4,3,2,1,Major,Major,Trivial,Major,Trivial,Major,148.5999,53.24201
